,Type,Hat Color,Pants Color,Hair Style,Pants,Hat,Shirt,Shoes,Overshirt,Overshirt Color,Beard,Shirt Color,Shoes Color,Hair Color,Beard Color,Glasses,Jersey Number,Glasses Color,Necklace,Earring,Tattoo Motif
4404,Human,,Magenta,Simple,Athletic Shorts,,Hoodie,Sneakers,,,,Magenta,Magenta,Dark,,,,,,,
4405,Human,,Dark Gray,Bald,Cargo Pants,,Skull Tee,LL Orange,,,,,,,,,,,,,
4406,Human,,Gray,Bald,Athletic Shorts,,Logo Tee,Basketball,,,,,Black,,,Specs,,Dark Red,,,
4407,Human,,Yellow,Mohawk,Athletic Shorts,,Windbreaker,Canvas,,,Stubble,Yellow,Yellow,Dark,Dark,Round Glasses,,White,Gold Chain,,
4408,Human,,Black,Mohawk,Athletic Shorts,,Classic Jersey,Canvas,,,Full,Black,White,Dark,Dark,Frameless,8,,Gold Chain,,
4409,Human,White,Dark Gray,Buzzcut,Cargo Pants,Wool Hat,Tie-dyed Tee,Classic,Athletic Jacket,Black,,,Gray,Dark,,,,,,,
4410,Human,,,Messy,Ripped Jeans,,Tie-dyed Tee,Workboots,Leather Jacket,,,,,Dark,,,,,,,
4411,Human,,Denim,Wild,Trackpants,,Suit Jacket,Urban Boots,,,,,,Dark,,,,,Gold Necklace,,
4412,Human,,Denim,Pigtails,Skirt,,Halter Top,High Tops,,,,Magenta,,Dark,,,,,,Gold Earrings,
4413,Human,,Posh,Pulled Back,Leggings,,Ghost Tee,Sandals,,,,,White,Dark,,,,,,,
4414,Human,,Denim,Big Bangs,Leggings,,Heart Hoodie,Skater,,,,Camo,Red,Blonde,,,,,,,
4415,Human,,Magenta,Mohawk,Athletic Shorts,,Hoodie,Canvas,,,,Magenta,Gray,Dark,,,,,,,
4416,Human,,,Fade,Ripped Jeans,,Invader Tee,Canvas,Collar Shirt,Green Plaid,Full,White,White,Dark,Dark,Elvis,,,,,
4417,Human,,Denim,Buzzcut,Cargo Pants,,Hoodie,Sneakers,,,,White,Gray,Dark,,,,,,,
4418,Human,,Camo,Wild,Short Leggings,,Heart Hoodie,High Boots,,,,Gray,,Brown,,,,,,,
4419,Human,,Denim,Big Bangs,Skirt,,Ghost Tee,Skater,,,,,Green,Bleached,,,,,,,
4420,Human,,,Buzzcut,Ripped Jeans,,Invader Tee,Slides,,,,White,,Dark,,,,,,,"BDSL,BDSL"
4421,Human,,Black,Buzzcut,Athletic Shorts,,Classic Jersey,Canvas,,,Full,Black,Gray,Dark,Dark,Round Glasses,1,Charcoal,,,
4422,Human,,Camo,Curly,Leggings,,Tee,Urban Boots,,,,White,,Blonde,,,,,,,
4423,Human,,Denim,Wild,Skirt,,Ghost Tee,High Tops,,,Medical Mask,,,Bleached,,Sunglasses,,,,,
4424,Human,Gray,Dark Gray,Buzzcut,Regular Pants,Wool Hat,Tie-dyed Tee,Workboots,Leather Jacket,,,,,Blond,,Frameless,,,Gold Chain,,
4425,Human,,Denim,Wild,Leggings,,Tee,High Boots,,,,Gray,,Brown,,,,,,,
4426,Human,,Dark Gray,Fade,Cargo Pants,,Hoodie,Workboots,,,,Red Plaid,,Dark,,Elvis,,,,,
4427,Human,,Camo,Ponytail,Leggings,,Ghost Tee,LL Baby Blue,,,,,,Blonde,,,,,,Gold Earrings,
4428,Human,Gray,Denim,Simple,Cargo Pants,Cap,Logo Tee,Basketball,,,,,Gray,Dark,,,,,,,
4429,Human,,,Buzzcut,Suit Pants,,Suit,Canvas,,,Full,,Yellow,Dark,Dark,,,,,,
