,body,face,hats,shirt,tier
169,blue cat skin,double face,knight red,knight black,exotic_1
170,blue cat skin,sunglasses cool,sunhat black,bandana green,cool_2
171,blue cat skin,beard pirate,beanie red,pirate black,wild_2
172,blue cat skin,ninja red,mohawk red,tanktop tattoo,wild_1
173,blue cat skin,tvface bobross,tvhead purple,sweater green chain,exotic_1
174,blue cat skin,pixel,hat white,astro,wild_1
175,blue cat skin,beard tan,antlers,buttondown green,cool_1
176,blue cat skin,angry scar,costume dragon,combat green,exotic_2
177,blue cat skin,unamused,knight black,bandana green,wild_2
178,blue cat skin,mummy,helm bronze,buttondown red flannel,classy_1
179,blue cat skin,owo,tvhead grey,work blue,wild_1
180,blue cat skin,dizzy,bucket hat green,baseball blue,cool_2
181,blue cat skin,sunglasses pixel,beret pink,tshirt green,wild_1
182,blue cat skin,mummy,mohawk green,tshirt pink,cool_2
183,blue cat skin,ninja black,pirate black,cowboy black,classy_1
184,blue cat skin,shocked,beret red,tshirt red,cool_1
185,blue cat skin,glossy,prince,viking navy,classy_1
186,blue cat skin,ninja blue,afro brown,shirt white,cool_2
187,blue cat skin,derp,astro cheeks,epaulette red,exotic_1
188,blue cat skin,ninja black,arrowhead,work blue,cool_1
189,blue cat skin,happy,flower red,shirt white,cool_1
190,blue cat skin,rich,crown gold,baseball blue,classy_2
191,blue cat skin,tired,sunhat white,bandana red,cool_2
192,blue cat skin,pixel,headband blue,bandana red,cool_1
193,blue cat skin,sunglasses cool,beret green,sweater orange,cool_1
194,blue cat skin,angry cute,mullet brown,robe red,cool_2
195,blue cat skin,angry cute,hat visor yellow,buttondown black flannel,cool_1
196,blue cat skin,zombie,goggles seaweed,ninja blue,classy_1
197,blue cat skin,unamused,headband blue,work blue,cool_1
198,blue cat skin,angry cute,cowboy brown,gown black,classy_1
199,blue cat skin,hearts,hat visor yellow,buttondown blue flannel,cool_1
200,blue cat skin,grin,headband blue,buttondown tan,cool_1
201,blue cat skin,sunglasses cool,flower blue,combat black,wild_2
202,blue cat skin,face face,antlers,ninja red,cool_2
203,blue cat skin,dizzy,beret green,bandana purple,cool_1
204,blue cat skin,beard tan,flower red,bandana red,cool_1
205,blue cat skin,ninja red,wreath,buttondown tan,cool_1
206,blue cat skin,mononoke,astro,robe red,wild_2
207,blue cat skin,smirk,apple,tshirt pink,cool_1
208,blue cat skin,beard pirate,arrowhead,robe red,cool_2
209,blue cat skin,zombie,helm army,sweater pink,wild_2
210,blue cat skin,glasses funny,antlers,chain,wild_1
211,blue cat skin,zombie,headband red,shirt yellow,cool_2
212,blue cat skin,happy cute,mohawk red,shirt bowtie,wild_1
213,blue cat skin,sunglasses cowboy,arrowhead,hoodie black,cool_2
214,blue cat skin,smirk,beanie red,pirate red,wild_1
215,blue cat skin,ditto,apple,tshirt green,cool_2
216,blue cat skin,beard brown,pirate black,sweater orange,wild_1
217,blue cat skin,beard tan,headband blue,tshirt green,cool_1
218,blue cat skin,mononoke,costume frog,robe king,exotic_2
219,blue cat skin,mummy,halo,baseball blue,classy_1
220,blue cat skin,double face,apple,tshirt pink,cool_2
221,blue cat skin,uwu,astro,tanktop white,wild_1
222,blue cat skin,beard brown,flower red,overalls blue,cool_1
223,blue cat skin,beard pirate,bow,tshirt pink,wild_2
224,blue cat skin,rich,apple,tshirt green,cool_2
225,blue cat skin,derp,admiral,viking brown,classy_2
226,blue cat skin,sunglasses cowboy,tvhead grey,winter blue,wild_2
227,blue cat skin,sunglasses pixel,hat skull,overalls flannel,wild_2
228,blue cat skin,uwu,afro rainbow unicorn,epaulette white,exotic_1
229,blue cat skin,happy cute,wreath,buttondown green,cool_1
